MUIDEN	MUDEID	MUNOMB	MUCODSIM
594	12	RIO IRO	27580000
595	12	RIO QUITO	27600000
596	12	RIOSUCIO	27615000
597	12	SAN JOSE DEL PALMAR	27660000
598	12	SIPI	27745000
599	12	TADO	27787000
600	12	UNGUIA	27800000
601	12	UNION PANAMERICANA	27810000
602	18	NEIVA	41001000
603	18	ACEVEDO	41006000
604	18	AGRADO	41013000
605	18	AIPE	41016000
606	18	ALGECIRAS	41020000
607	18	ALTAMIRA	41026000
608	18	BARAYA	41078000
609	18	CAMPOALEGRE	41132000
610	18	COLOMBIA	41206000
611	18	ELIAS	41244000
612	18	GARZON	41298000
613	18	GIGANTE	41306000
614	18	GUADALUPE	41319000
615	18	HOBO	41349000
616	18	IQUIRA	41357000
617	18	ISNOS	41359000
618	18	LA ARGENTINA	41378000
619	18	LA PLATA	41396000
620	18	NATAGA	41483000
621	18	OPORAPA	41503000
622	18	PAICOL	41518000
623	18	PALERMO	41524000
624	18	PALESTINA	41530000
625	18	PITAL	41548000
626	18	PITALITO	41551000
627	18	RIVERA	41615000
628	18	SALADOBLANCO	41660000
629	18	SAN AGUSTIN	41668000
630	18	SANTA MARIA	41676000
631	18	SUAZA	41770000
632	18	TARQUI	41791000
633	18	TESALIA	41797000
634	18	TELLO	41799000
635	18	TERUEL	41801000
636	18	TIMANA	41807000
637	18	VILLAVIEJA	41872000
638	18	YAGUARA	41885000
639	16	RIOHACHA	44001000
640	16	ALBANIA	44035000
641	16	BARRANCAS	44078000
642	16	DIBULLA	44090000
643	16	DISTRACCION	44098000
644	16	EL MOLINO	44110000
645	16	FONSECA	44279000
646	16	HATONUEVO	44378000
647	16	LA JAGUA DEL PILAR	44420000
648	16	MAICAO	44430000
649	16	MANAURE	44560000
650	16	SAN JUAN DEL CESAR	44650000
651	16	URIBIA	44847000
652	16	URUMITA	44855000
653	16	VILLANUEVA	44874000
654	19	SANTA MARTA	47001000
655	19	ALGARROBO	47030000
656	19	ARACATACA	47053000
657	19	ARIGUANI	47058000
658	19	CERRO SAN ANTONIO	47161000
659	19	CHIVOLO	47170000
660	19	CIENAGA	47189000
661	19	CONCORDIA	47205000
662	19	EL BANCO	47245000
663	19	EL PINON	47258000
664	19	EL RETEN	47268000
665	19	FUNDACION	47288000
666	19	GUAMAL	47318000
667	19	NUEVA GRANADA	47460000
668	19	PEDRAZA	47541000
669	19	PIJINO DEL CARMEN	47545000
670	19	PIVIJAY	47551000
671	19	PLATO	47555000
672	19	PUEBLOVIEJO	47570000
673	19	REMOLINO	47605000
674	19	SABANAS DE SAN ANGEL	47660000
675	19	SALAMINA	47675000
676	19	SAN SEBASTIAN DE BUENAV	47692000
677	19	SAN ZENON	47703000
678	19	SANTA ANA	47707000
679	19	SANTA BARBARA DE PINTO	47720000
680	19	SITIONUEVO	47745000
681	19	TENERIFE	47798000
682	19	ZAPAYAN	47960000
683	19	ZONA BANANERA	47980000
684	20	VILLAVICENCIO	50001000
685	20	ACACIAS	50006000
686	20	BARRANCA DE UPIA	50110000
687	20	CABUYARO	50124000
688	20	CASTILLA LA NUEVA	50150000
689	20	CUBARRAL	50223000
690	20	CUMARAL	50226000
691	20	EL CALVARIO	50245000
692	20	EL CASTILLO	50251000
693	20	EL DORADO	50270000
694	20	FUENTE DE ORO	50287000
695	20	GRANADA	50313000
696	20	GUAMAL	50318000
697	20	MAPIRIPAN	50325000
698	20	MESETAS	50330000
699	20	LA MACARENA	50350000
700	20	URIBE	50370000
701	20	LEJANIAS	50400000
702	20	PUERTO CONCORDIA	50450000
703	20	PUERTO GAITAN	50568000
704	20	PUERTO LOPEZ	50573000
705	20	PUERTO LLERAS	50577000
706	20	PUERTO RICO	50590000
707	20	RESTREPO	50606000
708	20	SAN CARLOS DE GUAROA	50680000
709	20	SAN JUAN DE ARAMA	50683000
710	20	SAN JUANITO	50686000
711	20	SAN MARTIN	50689000
712	20	VISTA HERMOSA	50711000
713	21	PASTO	52001000
714	21	ALBAN	52019000
715	21	ALDANA	52022000
716	21	ANCUYA	52036000
717	21	ARBOLEDA	52051000
718	21	BARBACOAS	52079000
719	21	BELEN	52083000
720	21	BUESACO	52110000
721	21	COLON	52203000
722	21	CONSACA	52207000
723	21	CONTADERO	52210000
724	21	CORDOBA	52215000
725	21	CUASPUD	52224000
726	21	CUMBAL	52227000
727	21	CUMBITARA	52233000
728	21	CHACHAGUI	52240000
729	21	EL CHARCO	52250000
730	21	EL PENOL	52254000
731	21	EL ROSARIO	52256000
732	21	EL TABLON DE GOMEZ	52258000
733	21	EL TAMBO	52260000
734	21	FUNES	52287000
735	21	GUACHUCAL	52317000
736	21	GUAITARILLA	52320000
737	21	GUALMATAN	52323000
738	21	ILES	52352000
739	21	IMUES	52354000
740	21	IPIALES	52356000
741	21	LA CRUZ	52378000
742	21	LA FLORIDA	52381000
743	21	LA LLANADA	52385000
744	21	LA TOLA	52390000
745	21	LA UNION	52399000
746	21	LEIVA	52405000
747	21	LINARES	52411000
748	21	LOS ANDES	52418000
749	21	MAGUI	52427000
750	21	MALLAMA	52435000
751	21	MOSQUERA	52473000
752	21	NARINO	52480000
753	21	OLAYA HERRERA	52490000
754	21	OSPINA	52506000
755	21	FRANCISCO PIZARRO	52520000
756	21	POLICARPA	52540000
757	21	POTOSI	52560000
758	21	PROVIDENCIA	52565000
759	21	PUERRES	52573000
760	21	PUPIALES	52585000
761	21	RICAURTE	52612000
762	21	ROBERTO PAYAN	52621000
763	21	SAMANIEGO	52678000
764	21	SANDONA	52683000
765	21	SAN BERNARDO	52685000
766	21	SAN LORENZO	52687000
767	21	SAN PABLO	52693000
768	21	SAN PEDRO DE CARTAGO	52694000
769	21	SANTA BARBARA	52696000
770	21	SANTACRUZ	52699000
771	21	SAPUYES	52720000
772	21	TAMINANGO	52786000
773	21	TANGUA	52788000
774	21	TUMACO	52835000
775	21	TUQUERRES	52838000
776	21	YACUANQUER	52885000
777	22	CUCUTA	54001000
778	22	ABREGO	54003000
779	22	ARBOLEDAS	54051000
780	22	BOCHALEMA	54099000
781	22	BUCARASICA	54109000
782	22	CACOTA	54125000
783	22	CACHIRA	54128000
784	22	CHINACOTA	54172000
785	22	CHITAGA	54174000
786	22	CONVENCION	54206000
787	22	CUCUTILLA	54223000
788	22	DURANIA	54239000
789	22	EL CARMEN	54245000
790	22	EL TARRA	54250000
791	22	EL ZULIA	54261000
792	22	GRAMALOTE	54313000
793	22	HACARI	54344000
794	22	HERRAN	54347000
795	22	LABATECA	54377000
796	22	LA ESPERANZA	54385000
797	22	LA PLAYA	54398000
798	22	LOS PATIOS	54405000
799	22	LOURDES	54418000
800	22	MUTISCUA	54480000
801	22	OCANA	54498000
802	22	PAMPLONA	54518000
803	22	PAMPLONITA	54520000
804	22	PUERTO SANTANDER	54553000
805	22	RAGONVALIA	54599000
806	22	SALAZAR	54660000
807	22	SAN CALIXTO	54670000
808	22	SAN CAYETANO	54673000
809	22	SANTIAGO	54680000
810	22	SARDINATA	54720000
811	22	SILOS	54743000
812	22	TEORAMA	54800000
813	22	TIBU	54810000
814	22	TOLEDO	54820000
815	22	VILLA CARO	54871000
816	22	VILLA DEL ROSARIO	54874000
817	24	ARMENIA	63001000
818	24	BUENAVISTA	63111000
819	24	CALARCA	63130000
820	24	CIRCASIA	63190000
821	24	CORDOBA	63212000
822	24	FILANDIA	63272000
823	24	GENOVA	63302000
824	24	LA TEBAIDA	63401000
825	24	MONTENEGRO	63470000
826	24	PIJAO	63548000
827	24	QUIMBAYA	63594000
828	24	SALENTO	63690000
829	25	PEREIRA	66001000
830	25	APIA	66045000
831	25	BALBOA	66075000
832	25	BELEN DE UMBRIA	66088000
833	25	DOSQUEBRADAS	66170000
834	25	GUATICA	66318000
835	25	LA CELIA	66383000
836	25	LA VIRGINIA	66400000
837	25	MARSELLA	66440000
838	25	MISTRATO	66456000
839	25	PUEBLO RICO	66572000
840	25	QUINCHIA	66594000
841	25	SANTA ROSA DE CABAL	66682000
842	25	SANTUARIO	66687000
843	27	BUCARAMANGA	68001000
844	27	AGUADA	68013000
845	27	ALBANIA	68020000
846	27	ARATOCA	68051000
847	27	BARBOSA	68077000
848	27	BARICHARA	68079000
849	27	BARRANCABERMEJA	68081000
850	27	BETULIA	68092000
851	27	BOLIVAR	68101000
852	27	CABRERA	68121000
853	27	CALIFORNIA	68132000
854	27	CAPITANEJO	68147000
855	27	CARCASI	68152000
856	27	CEPITA	68160000
857	27	CERRITO	68162000
858	27	CHARALA	68167000
859	27	CHARTA	68169000
860	27	CHIMA	68176000
861	27	CHIPATA	68179000
862	27	CIMITARRA	68190000
863	27	CONCEPCION	68207000
864	27	CONFINES	68209000
865	27	CONTRATACION	68211000
866	27	COROMORO	68217000
867	27	CURITI	68229000
868	27	EL CARMEN DE CHUCURI	68235000
